,comInsert,dataTime
0,222,2017-05-26 06:17:00
1,147,2017-05-26 06:18:00
2,128,2017-05-26 06:19:00
3,177,2017-05-26 06:20:00
4,134,2017-05-26 06:21:00
5,132,2017-05-26 06:22:00
6,165,2017-05-26 06:23:00
7,126,2017-05-26 06:24:00
8,177,2017-05-26 06:25:00
9,132,2017-05-26 06:26:00
10,130,2017-05-26 06:27:00
11,183,2017-05-26 06:28:00
12,151,2017-05-26 06:29:00
13,296,2017-05-26 06:30:00
14,263,2017-05-26 06:31:00
15,172,2017-05-26 06:32:00
16,127,2017-05-26 06:33:00
17,130,2017-05-26 06:34:00
18,203,2017-05-26 06:35:00
19,169,2017-05-26 06:36:00
20,194,2017-05-26 06:37:00
21,212,2017-05-26 06:38:00
22,161,2017-05-26 06:39:00
23,182,2017-05-26 06:40:00
24,130,2017-05-26 06:41:00
25,136,2017-05-26 06:42:00
26,127,2017-05-26 06:43:00
27,133,2017-05-26 06:44:00
28,179,2017-05-26 06:45:00
29,129,2017-05-26 06:46:00
30,127,2017-05-26 06:47:00
31,125,2017-05-26 06:48:00
32,138,2017-05-26 06:49:00
33,174,2017-05-26 06:50:00
34,132,2017-05-26 06:51:00
35,132,2017-05-26 06:52:00
36,121,2017-05-26 06:53:00
37,132,2017-05-26 06:54:00
38,173,2017-05-26 06:55:00
39,133,2017-05-26 06:56:00
40,134,2017-05-26 06:57:00
41,129,2017-05-26 06:58:00
42,144,2017-05-26 06:59:00
43,274,2017-05-26 07:00:00
44,178,2017-05-26 07:01:00
45,129,2017-05-26 07:02:00
46,136,2017-05-26 07:03:00
47,173,2017-05-26 07:04:00
48,176,2017-05-26 07:05:00
49,149,2017-05-26 07:06:00
50,136,2017-05-26 07:07:00
51,132,2017-05-26 07:08:00
52,141,2017-05-26 07:09:00
53,180,2017-05-26 07:10:00
54,306,2017-05-26 07:11:00
55,127,2017-05-26 07:12:00
56,127,2017-05-26 07:13:00
57,131,2017-05-26 07:14:00
58,162,2017-05-26 07:15:00
59,135,2017-05-26 07:16:00
60,130,2017-05-26 07:17:00
61,134,2017-05-26 07:18:00
62,132,2017-05-26 07:19:00
63,179,2017-05-26 07:20:00
64,141,2017-05-26 07:21:00
65,135,2017-05-26 07:22:00
66,145,2017-05-26 07:23:00
67,125,2017-05-26 07:24:00
68,167,2017-05-26 07:25:00
69,150,2017-05-26 07:26:00
70,127,2017-05-26 07:27:00
71,141,2017-05-26 07:28:00
72,134,2017-05-26 07:29:00
73,202,2017-05-26 07:30:00
74,183,2017-05-26 07:31:00
75,140,2017-05-26 07:32:00
76,138,2017-05-26 07:33:00
77,124,2017-05-26 07:34:00
78,150,2017-05-26 07:35:00
79,153,2017-05-26 07:36:00
80,128,2017-05-26 07:37:00
81,129,2017-05-26 07:38:00
82,159,2017-05-26 07:39:00
83,168,2017-05-26 07:40:00
84,170,2017-05-26 07:41:00
85,126,2017-05-26 07:42:00
86,133,2017-05-26 07:43:00
87,164,2017-05-26 07:44:00
88,156,2017-05-26 07:45:00
89,141,2017-05-26 07:46:00
90,133,2017-05-26 07:47:00
91,127,2017-05-26 07:48:00
92,126,2017-05-26 07:49:00
93,189,2017-05-26 07:50:00
94,124,2017-05-26 07:51:00
95,125,2017-05-26 07:52:00
96,127,2017-05-26 07:53:00
97,123,2017-05-26 07:54:00
98,176,2017-05-26 07:55:00
99,133,2017-05-26 07:56:00
100,124,2017-05-26 07:57:00
101,135,2017-05-26 07:58:00
102,131,2017-05-26 07:59:00
103,320,2017-05-26 08:00:00
104,149,2017-05-26 08:01:00
105,131,2017-05-26 08:02:00
106,128,2017-05-26 08:03:00
107,131,2017-05-26 08:04:00
108,186,2017-05-26 08:05:00
109,124,2017-05-26 08:06:00
110,128,2017-05-26 08:07:00
111,124,2017-05-26 08:08:00
112,132,2017-05-26 08:09:00
113,195,2017-05-26 08:10:00
114,196,2017-05-26 08:11:00
115,124,2017-05-26 08:12:00
116,123,2017-05-26 08:13:00
117,124,2017-05-26 08:14:00
118,163,2017-05-26 08:15:00
119,179,2017-05-26 08:16:00
120,122,2017-05-26 08:17:00
121,117,2017-05-26 08:18:00
122,126,2017-05-26 08:19:00
123,162,2017-05-26 08:20:00
124,140,2017-05-26 08:21:00
125,125,2017-05-26 08:22:00
